,anxiety,Cohesion,Expressiveness,Conflict,Acceptance and Caring,Independence,Active orientation,Organisation,Control,FES,m_control,m_responsiveness,f_control,f_responsiveness,m_total,f_total,total
12,2,48,15,47,60,40,36,7,15,268,77,54,31,71,131,193,324
63,2,56,24,40,61,20,29,3,12,245,74,105,31,107,179,232,411
25,3,51,27,47,85,43,27,6,16,302,58,40,33,134,98,216,314
39,4,53,40,59,71,34,26,11,8,302,138,95,29,84,233,156,389
75,5,51,28,49,40,25,32,5,22,252,64,74,30,50,138,154,292
90,8,38,35,40,57,17,22,8,6,223,103,86,15,97,189,172,361
49,8,60,43,50,57,16,37,7,8,278,89,94,40,80,183,122,305
95,11,47,30,44,17,36,34,12,12,232,74,79,54,85,153,165,318
72,14,54,40,46,77,11,28,10,15,281,88,115,45,68,203,140,343
34,15,52,36,46,33,38,17,11,3,236,112,122,34,77,234,110,344
53,15,55,16,46,45,15,23,9,20,229,89,70,37,100,159,102,261
31,16,57,20,18,50,28,28,8,19,228,64,91,62,76,155,129,284
4,16,44,16,48,45,23,23,7,6,212,45,78,39,67,123,154,277
17,16,47,38,29,20,41,16,8,15,214,54,72,40,70,126,144,270
48,17,56,30,53,48,30,22,5,22,266,75,69,40,42,144,129,273
77,17,68,23,36,30,38,24,7,22,248,116,83,21,38,199,135,334
29,18,34,27,39,59,49,25,6,8,247,78,61,20,54,139,169,308
70,18,39,46,38,33,47,25,9,7,244,80,97,81,90,177,127,304
46,19,59,34,42,71,35,30,9,14,294,58,50,74,73,108,161,269
50,20,45,34,38,63,29,31,6,14,260,54,79,70,111,133,256,389
19,20,45,53,30,67,27,31,8,20,281,81,109,56,16,190,135,325
3,20,38,17,46,54,21,35,7,16,234,106,67,45,88,173,128,301
94,21,38,43,61,12,19,35,9,17,225,85,91,75,32,176,72,248
14,22,38,34,62,42,40,30,10,15,271,117,62,62,102,179,210,389
64,22,32,18,50,46,34,22,6,8,216,133,63,39,94,196,155,351
40,22,46,23,30,33,34,24,8,16,214,97,84,91,54,181,143,324
71,22,42,49,33,59,38,25,8,22,276,69,75,56,148,144,182,326
9,23,65,26,57,46,45,35,1,21,296,86,134,80,119,220,149,369
66,23,55,24,44,55,40,34,6,6,264,69,90,80,38,159,135,294
47,24,32,38,49,30,32,20,7,16,224,62,90,81,48,152,122,274
20,25,46,52,41,68,14,22,5,20,268,107,52,82,126,159,219,378
1,25,37,26,38,52,37,28,4,11,233,71,77,70,41,148,135,283
