,anxiety,Cohesion,Expressiveness,Conflict,Acceptance and Caring,Independence,Active orientation,Organisation,Control,FES,m_control,m_responsiveness,f_control,f_responsiveness,m_total,f_total,total
anxiety,1.0,-0.08658843238770392,0.01682428102285795,-0.08948428262491119,-0.3311774927802181,-0.023898782568627826,-0.1456079332357237,-0.025398040858096008,0.09545199609747128,-0.25847212223593474,0.005865480672859882,0.04806939750498019,-0.015146049286500481,0.060274727494843854,0.03539740176708577,0.031245818807744227,0.04840040703763343
Cohesion,-0.08658843238770392,1.0,-0.03388877555710799,0.04826184322069916,0.05593854909962715,0.06282878580477184,-0.016245628880131525,0.02913463703686069,0.03500969575469912,0.38370975214319747,0.030488719287599397,0.05586995701777689,0.12033402677755127,0.011951360013847027,0.057686103529036734,0.09873315521691499,0.11716429245061383
Expressiveness,0.01682428102285795,-0.03388877555710799,1.0,0.0061273635208284475,0.06028503450662954,0.09651986952140258,0.05962392806249866,0.03480736298940505,0.11745356558029833,0.4492363787891066,-0.02068330397616833,-0.09748971531365473,0.17174884003644167,0.15982519622623878,-0.0779313927862334,0.2418442696653863,0.1421921447708302
Conflict,-0.08948428262491119,0.04826184322069916,0.0061273635208284475,1.0,-0.009626011331230231,0.06734875716321002,0.028790661145454928,-0.037177476858491584,-0.09469533805303933,0.4055190076461297,-0.08796599532002998,0.10083366723036764,-0.02389600839849752,0.12860191899728982,0.004171017561842216,0.07298298591209451,0.061198301047829674
Acceptance and Caring,-0.3311774927802181,0.05593854909962715,0.06028503450662954,-0.009626011331230231,1.0,-0.1128116318751811,0.027255540399316464,0.0038339806479824167,0.09264633655115988,0.5881371673145598,0.2517928050765861,0.038633600521122864,-0.022265751600358426,0.18401050672649594,0.20113831189658438,0.11337577651606108,0.22363738717097062
Independence,-0.023898782568627826,0.06282878580477184,0.09651986952140258,0.06734875716321002,-0.1128116318751811,1.0,-0.11143777527512953,0.17477235234971714,-0.027858064712421873,0.36387334416965667,0.09462956942453479,0.09492062097108747,0.12577639026406173,0.24332222447125232,0.12794148899742466,0.26637798683895725,0.2978135566236324
Active orientation,-0.1456079332357237,-0.016245628880131525,0.05962392806249866,0.028790661145454928,0.027255540399316464,-0.11143777527512953,1.0,-0.08683931074653929,0.14319074262913023,0.20091500048007152,-0.059425907837289904,0.01936297607470517,0.042250787034137864,-0.06565452007988418,-0.028927009816338858,-0.01471272373093767,-0.030887436059644606
Organisation,-0.025398040858096008,0.02913463703686069,0.03480736298940505,-0.037177476858491584,0.0038339806479824167,0.17477235234971714,-0.08683931074653929,1.0,-0.1972931233808952,0.11243610397691568,0.13890495808849657,-0.020616595794950596,0.15036039003383378,0.13225313031910113,0.0836606052674502,0.2063055561189339,0.22046195678343034
Control,0.09545199609747128,0.03500969575469912,0.11745356558029833,-0.09469533805303933,0.09264633655115988,-0.027858064712421873,0.14319074262913023,-0.1972931233808952,1.0,0.2622980471739847,0.17498553660512475,-0.11819475625635238,0.1363571800129616,-0.01414604985469984,0.045345272063534774,0.09230616410431779,0.10386678418682384
FES,-0.25847212223593474,0.38370975214319747,0.4492363787891066,0.4055190076461297,0.5881371673145598,0.36387334416965667,0.20091500048007152,0.11243610397691568,0.2622980471739847,1.0,0.1809840742401347,0.05598299607783963,0.1689930371692513,0.3012116886793238,0.162944534935436,0.339726088380208,0.37966822534787914
m_control,0.005865480672859882,0.030488719287599397,-0.02068330397616833,-0.08796599532002998,0.2517928050765861,0.09462956942453479,-0.059425907837289904,0.13890495808849657,0.17498553660512475,0.1809840742401347,1.0,0.09622391042823969,-0.008651749944973716,-0.035223308202978074,0.761575279687379,-0.03139144022708107,0.4778688365179877
m_responsiveness,0.04806939750498019,0.05586995701777689,-0.09748971531365473,0.10083366723036764,0.038633600521122864,0.09492062097108747,0.01936297607470517,-0.020616595794950596,-0.11819475625635238,0.05598299607783963,0.09622391042823969,1.0,0.0436842531117271,-0.15784552081418324,0.7183509474236514,-0.0788092139165518,0.4113486840109518
f_control,-0.015146049286500481,0.12033402677755127,0.17174884003644167,-0.02389600839849752,-0.022265751600358426,0.12577639026406173,0.042250787034137864,0.15036039003383378,0.1363571800129616,0.1689930371692513,-0.008651749944973716,0.0436842531117271,1.0,-0.05907336218100601,0.022395801697667563,0.7085216670531304,0.5821630156958615
f_responsiveness,0.060274727494843854,0.011951360013847027,0.15982519622623878,0.12860191899728982,0.18401050672649594,0.24332222447125232,-0.06565452007988418,0.13225313031910113,-0.01414604985469984,0.3012116886793238,-0.035223308202978074,-0.15784552081418324,-0.05907336218100601,1.0,-0.12739128063871263,0.6626019171914903,0.4464597088134559
m_total,0.03539740176708577,0.057686103529036734,-0.0779313927862334,0.004171017561842216,0.20113831189658438,0.12794148899742466,-0.028927009816338858,0.0836606052674502,0.045345272063534774,0.162944534935436,0.761575279687379,0.7183509474236514,0.022395801697667563,-0.12739128063871263,1.0,-0.07325273520203883,0.6018222480587976
f_total,0.031245818807744227,0.09873315521691499,0.2418442696653863,0.07298298591209451,0.11337577651606108,0.26637798683895725,-0.01471272373093767,0.2063055561189339,0.09230616410431779,0.339726088380208,-0.03139144022708107,-0.0788092139165518,0.7085216670531304,0.6626019171914903,-0.07325273520203883,1.0,0.7523993479219762
total,0.04840040703763343,0.11716429245061383,0.1421921447708302,0.061198301047829674,0.22363738717097062,0.2978135566236324,-0.030887436059644606,0.22046195678343034,0.10386678418682384,0.37966822534787914,0.4778688365179877,0.4113486840109518,0.5821630156958615,0.4464597088134559,0.6018222480587976,0.7523993479219762,1.0
